Date,LAYER 1,LAYER 2,LAYER 3,LAYER 4,,,FDISK1,FDISK2,FDISK3
,,,,,,,,,
20.10.2018,500,250,175,125,,,250,,
26.9.2018,450,250,175,125,,,250?,,225
7.9.2018,425,250,175,125,,,275,,225
1.9.2018,400,220,150,120,,,250,,200
17.8.2019,400,200,125,90,,,225,,
30.7.2018,350,190,,,,,220,,
11.7.2018,350,175,110,75,,,210,,170
9.6.2018,,175,125,90,,,205,,
24.5.2018,,150,90,75,,,200,,
12.5.2018,280,140,80,70,,,175,,150
5.5.2018,240,125,70,60,,,150,,100
19.4.2018,250,125,80,50,,,110,110,100
9.11.2017,500,,,,,,,,
27.10.2017,450,,,,,,,,
4.10.2017,400?,,,,,,,,
23.9.2017,,150,100,,,,,,
23.8.2017,300?,100,50,,,,,,
Start,110?,,,,,,70,70,70
